gridID,Longitude Center,Latitude Center,MonthOfYear,label,% Poverty
5894,-74.18572,40.593056,3,1,60.08
5896,-74.18572,40.594852,3,6,60.08
5936,-74.18572,40.630825,3,1,60.08
6011,-74.18454,40.538197,3,1,60.08
6014,-74.18454,40.540894,3,1,60.08
6019,-74.18454,40.54539,3,1,60.08
6021,-74.18454,40.547188,3,2,60.08
6023,-74.18454,40.54899,3,1,60.08
6027,-74.18454,40.552586,3,1,60.08
6028,-74.18454,40.553486,3,2,60.08
6040,-74.18454,40.564278,3,1,60.08
6041,-74.18454,40.565174,3,2,60.08
6073,-74.18454,40.593952,3,1,60.08
6074,-74.18454,40.594852,3,1,60.08
6075,-74.18454,40.595753,3,2,60.08
6083,-74.18454,40.602947,3,2,60.08
6112,-74.18454,40.62903,3,3,60.08
6185,-74.18336,40.5346,3,3,60.08
6186,-74.18336,40.5355,3,1,60.08
6197,-74.18336,40.54539,3,1,60.08
6198,-74.18336,40.54629,3,4,60.08
6201,-74.18336,40.54899,3,6,60.08
6203,-74.18336,40.550785,3,1,60.08
6204,-74.18336,40.551685,3,1,60.08
6206,-74.18336,40.553486,3,7,60.08
6207,-74.18336,40.554382,3,6,60.08
6208,-74.18336,40.555283,3,1,60.08
6214,-74.18336,40.56068,3,2,60.08
6218,-74.18336,40.564278,3,1,60.08
6219,-74.18336,40.565174,3,3,60.08
6251,-74.18336,40.593952,3,1,60.08
6253,-74.18336,40.595753,3,1,60.08
6254,-74.18336,40.596653,3,1,60.08
